                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2154,                0.62711,                 1.1119,                0.99164,                0.91705,                0.94273,                0.67269,                 1.0934,                0.51801,                 1.1438,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2106,                0.62094,                 1.1003,                 0.9824,                0.90035,                0.93704,                0.66719,                 1.0926,                0.51936,                 1.1354,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2201,                0.62987,                 1.1045,                0.98939,                0.89631,                0.93504,                0.66746,                 1.0787,                0.52416,                 1.1331,              0.0010496,              0.0010496,              0.0010496
                     50,                   1.21,                0.61548,                 1.0974,                0.98559,                0.89401,                0.93285,                0.67135,                 1.0734,                0.51543,                 1.1295,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2087,                0.61816,                 1.0984,                0.98797,                0.90553,                 0.9427,                0.66315,                 1.1024,                0.52265,                 1.1478,                0.00101,                0.00101,                0.00101
                     52,                 1.2036,                0.61516,                 1.0968,                0.98242,                0.90145,                0.93526,                 0.6704,                 1.0781,                0.51594,                 1.1311,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1879,                 0.6131,                 1.0853,                0.98783,                0.89862,                0.94552,                0.67277,                 1.0739,                0.51665,                 1.1269,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.196,                0.61546,                 1.0888,                 0.9896,                0.90553,                0.93898,                 0.6703,                 1.0905,                0.51458,                 1.1373,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1856,                0.60148,                 1.0855,                0.99493,                0.90365,                0.94415,                0.65718,                 1.1152,                0.52439,                 1.1469,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.187,                0.60122,                 1.0803,                0.98886,                0.90783,                0.94317,                0.66046,                 1.1098,                 0.5164,                 1.1406,               0.000911,               0.000911,               0.000911
                     57,                 1.1868,                0.60501,                 1.0884,                0.99236,                0.89753,                0.94487,                0.67524,                 1.0793,                0.52441,                 1.1224,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1559,                0.59454,                 1.0826,                0.98807,                0.90553,                0.95097,                 0.6713,                 1.0905,                0.51689,                  1.135,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1691,                0.58959,                 1.0873,                0.99244,                0.90726,                 0.9494,                0.67191,                 1.0728,                 0.5219,                 1.1305,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1515,                0.57688,                 1.0717,                0.99164,                0.90783,                0.95401,                 0.6823,                 1.0601,                0.51022,                  1.119,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1663,                 0.5971,                 1.0763,                0.99381,                0.90323,                0.95732,                0.68289,                 1.0745,                0.51827,                 1.1235,               0.000812,               0.000812,               0.000812
                     62,                 1.1607,                0.58414,                 1.0764,                 0.9924,                0.90253,                0.95356,                0.67921,                 1.0706,                0.50783,                 1.1173,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1608,                0.57723,                 1.0787,                0.99359,                0.90092,                0.94753,                0.68221,                 1.0464,                0.49768,                 1.1041,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1542,                0.57991,                 1.0714,                0.99403,                0.89862,                0.95286,                0.68332,                 1.0545,                 0.5006,                 1.1144,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1581,                0.58187,                 1.0727,                0.99633,                0.89862,                0.95131,                0.68524,                 1.0484,                0.50348,                 1.1191,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1503,                0.57175,                 1.0644,                0.99744,                0.89843,                0.95465,                0.69245,                 1.0425,                0.49968,                 1.1105,               0.000713,               0.000713,               0.000713
