                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2822,                 1.1322,                 1.3286,                0.72693,                0.90237,                0.78278,                0.57948,                0.95659,                0.78657,                 1.2281,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2736,                 1.1311,                 1.3264,                 0.7414,                0.91679,                0.82528,                0.61107,                0.95382,                0.78323,                 1.2159,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2717,                 1.1214,                 1.3189,                0.71913,                0.92888,                0.71614,                 0.5164,                0.96097,                0.80441,                 1.2143,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2592,                 1.1198,                 1.3063,                0.71857,                0.91926,                0.71196,                0.51077,                0.99274,                0.79541,                 1.2409,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2607,                 1.1187,                 1.3002,                0.72773,                0.91538,                0.72926,                0.53318,                0.97185,                0.79905,                 1.2142,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2552,                 1.1103,                 1.3047,                0.73832,                0.92396,                0.71419,                 0.5145,                0.94902,                0.78942,                 1.2146,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2497,                 1.1081,                 1.2993,                 0.7376,                0.92157,                0.72117,                0.53198,                0.92858,                0.77697,                 1.2019,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2289,                 1.1012,                 1.2905,                0.73254,                0.92413,                0.74276,                0.55051,                0.95314,                0.77311,                 1.2115,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2578,                 1.1023,                  1.303,                0.73004,                0.92272,                0.71219,                0.50785,                 1.0053,                0.80119,                 1.2247,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2411,                 1.0982,                 1.2947,                0.73991,                0.91803,                0.72134,                0.53169,                0.92199,                 0.7666,                 1.1909,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2416,                 1.0889,                 1.2906,                0.73627,                0.92972,                0.71401,                0.52061,                0.92608,                0.78717,                 1.1924,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.2301,                  1.081,                 1.2858,                0.73143,                0.92767,                0.71264,                0.52141,                0.91712,                0.77201,                 1.1917,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2292,                 1.0876,                 1.2918,                0.74241,                0.92033,                0.74186,                0.54934,                0.91652,                0.75255,                 1.1878,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.2327,                 1.0854,                 1.2899,                0.73279,                0.92569,                0.74508,                0.56037,                0.90403,                0.75787,                 1.1784,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2168,                 1.0751,                 1.2799,                0.73931,                0.92619,                0.73827,                   0.55,                0.90549,                0.75774,                 1.1729,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2027,                 1.0692,                 1.2668,                0.73573,                0.92636,                0.76308,                 0.5723,                0.90804,                0.75231,                 1.1863,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.2165,                  1.064,                 1.2779,                0.73179,                0.92418,                0.71259,                0.52635,                0.91324,                0.77404,                 1.1862,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2129,                  1.062,                 1.2772,                0.73836,                0.92732,                0.77921,                 0.5847,                0.91271,                 0.7424,                 1.1815,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2079,                 1.0643,                 1.2696,                 0.7348,                0.92669,                0.81349,                0.62561,                0.87889,                0.72634,                 1.1592,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1993,                 1.0499,                 1.2659,                0.74208,                0.92059,                0.76675,                0.58113,                0.86717,                0.72717,                 1.1595,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1953,                 1.0541,                 1.2707,                0.73259,                0.92784,                0.71483,                0.52507,                0.93075,                0.76628,                 1.1872,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1918,                 1.0484,                 1.2617,                0.73423,                0.92641,                0.72539,                0.54133,                0.88537,                0.73124,                 1.1582,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1834,                 1.0405,                 1.2556,                0.73783,                0.91431,                0.72886,                0.54266,                0.91929,                0.74439,                 1.1866,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1826,                 1.0343,                 1.2524,                 0.7348,                0.93271,                0.77911,                0.58873,                0.89277,                0.72918,                 1.1592,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1898,                 1.0479,                 1.2574,                0.73666,                0.92571,                0.76016,                0.57218,                0.88479,                0.73881,                 1.1602,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1785,                 1.0376,                 1.2562,                0.73669,                 0.9304,                0.73428,                0.55242,                0.85578,                0.73711,                 1.1451,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1614,                 1.0361,                 1.2449,                0.73868,                0.92867,                0.71881,                0.53571,                0.86489,                0.73276,                 1.1477,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1754,                 1.0385,                 1.2533,                0.74003,                0.93377,                0.72365,                0.54561,                0.86194,                0.73386,                 1.1465,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1645,                 1.0267,                 1.2454,                0.74272,                 0.9252,                0.76853,                0.58145,                0.87857,                0.72194,                 1.1556,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1607,                 1.0211,                 1.2406,                0.74003,                0.92748,                0.78388,                0.60086,                0.85552,                0.72171,                 1.1479,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1572,                 1.0202,                 1.2345,                0.73995,                0.92977,                0.76396,                0.58383,                 0.8506,                0.72241,                 1.1447,             0.00046226,             0.00046226,             0.00046226
                     75,                  1.163,                 1.0245,                 1.2448,                0.73488,                0.93039,                0.72139,                0.53814,                0.85687,                0.73486,                 1.1469,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.1517,                 1.0184,                 1.2294,                0.73868,                0.93138,                0.72751,                0.54828,                0.84124,                0.73336,                 1.1323,             0.00042925,             0.00042925,             0.00042925
                     77,                  1.158,                 1.0187,                 1.2376,                0.73693,                0.93386,                0.71982,                0.53857,                0.87184,                0.73309,                 1.1551,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.1466,                 1.0146,                 1.2345,                0.73116,                0.93035,                0.72112,                0.54007,                 0.8526,                 0.7383,                 1.1402,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.1482,                  1.015,                 1.2315,                0.73792,                0.93377,                0.71894,                0.53789,                0.86746,                0.73791,                 1.1452,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1203,                0.99473,                 1.2198,                0.73454,                0.93451,                0.72155,                0.54921,                0.83355,                0.70563,                 1.1306,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1342,                 1.0044,                 1.2203,                0.73873,                0.93757,                0.72269,                0.54875,                0.84605,                0.71335,                 1.1319,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.1247,                0.99985,                 1.2213,                0.74167,                0.93118,                 0.7784,                0.59606,                0.84508,                0.69711,                 1.1357,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.136,                 1.0056,                 1.2243,                 0.7404,                0.93023,                0.76678,                0.58611,                0.85211,                0.70674,                 1.1353,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.1286,                0.99648,                 1.2213,                 0.7408,                0.93378,                0.72161,                0.54447,                0.86297,                0.73184,                 1.1444,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1252,                0.98359,                 1.2138,                0.74149,                0.93518,                0.72917,                0.55607,                0.84006,                 0.7065,                 1.1262,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1166,                 0.9821,                 1.2128,                0.74427,                 0.9323,                0.72423,                0.55419,                0.83394,                0.70512,                 1.1217,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.114,                0.97781,                 1.2083,                0.73766,                0.93279,                 0.7224,                0.55344,                0.82354,                0.70302,                  1.121,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.1107,                0.98264,                 1.2098,                0.74455,                0.92899,                0.72359,                0.54771,                0.83395,                0.71437,                 1.1246,             0.00023121,             0.00023121,             0.00023121
