                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.96814,                 0.4655,                0.98795,                0.99749,                 0.9168,                0.97628,                0.73994,                0.93566,                0.39698,                 1.0629,              0.0086932,              0.0086932,              0.0086932
                     69,                0.95198,                0.45944,                0.99079,                 0.9965,                0.91705,                0.97767,                0.73439,                0.97213,                0.41087,                 1.0906,              0.0086734,              0.0086734,              0.0086734
                     70,                0.95693,                0.45719,                0.98471,                      1,                0.92141,                0.97887,                0.74093,                0.93774,                0.39282,                 1.0656,              0.0086536,              0.0086536,              0.0086536
                     71,                 0.9486,                0.45694,                0.98653,                0.99004,                0.91601,                0.97454,                0.73757,                0.92469,                0.40323,                 1.0601,              0.0086338,              0.0086338,              0.0086338
                     72,                0.94377,                0.44951,                0.98522,                0.99751,                0.92131,                 0.9784,                 0.7429,                0.95397,                0.39748,                 1.0814,               0.008614,               0.008614,               0.008614
                     73,                0.95509,                0.45531,                0.99022,                 0.9975,                0.91858,                0.98112,                0.73905,                0.94544,                0.38759,                 1.0696,              0.0085942,              0.0085942,              0.0085942
                     74,                0.93633,                0.44644,                0.98032,                0.99321,                0.91935,                0.97641,                0.73861,                 0.9199,                0.39703,                 1.0505,              0.0085744,              0.0085744,              0.0085744
                     75,                0.94384,                0.45077,                0.98258,                0.99501,                0.91862,                0.97685,                0.74692,                0.91211,                0.38489,                 1.0481,              0.0085546,              0.0085546,              0.0085546
                     76,                0.93242,                0.44101,                0.98053,                0.99012,                 0.9237,                0.98184,                0.75418,                0.89989,                0.37619,                 1.0462,              0.0085348,              0.0085348,              0.0085348
                     77,                0.93551,                 0.4494,                0.97817,                0.99328,                0.92166,                0.98151,                0.74551,                0.92481,                0.40051,                 1.0588,               0.008515,               0.008515,               0.008515
                     78,                 0.9322,                0.44836,                0.98314,                0.99658,                0.91935,                0.97899,                0.75234,                0.91693,                0.39214,                 1.0556,              0.0084952,              0.0084952,              0.0084952
                     79,                0.92797,                0.44063,                0.98237,                 0.9975,                0.91898,                0.98127,                0.74476,                0.93787,                0.39058,                 1.0642,              0.0084754,              0.0084754,              0.0084754
                     80,                0.91772,                0.44079,                0.97579,                0.99505,                0.92586,                 0.9831,                0.75377,                0.90965,                0.37327,                 1.0475,              0.0084556,              0.0084556,              0.0084556
                     81,                0.92219,                 0.4403,                0.97686,                0.99503,                0.92296,                0.98067,                0.74013,                0.93142,                0.38521,                 1.0526,              0.0084358,              0.0084358,              0.0084358
                     82,                0.92027,                0.44171,                0.97672,                0.99255,                0.92096,                0.98116,                 0.7565,                0.90309,                0.38275,                 1.0462,               0.008416,               0.008416,               0.008416
                     83,                0.92484,                0.44819,                 0.9777,                0.99468,                0.92857,                0.98172,                0.75356,                0.90569,                0.38461,                 1.0445,              0.0083962,              0.0083962,              0.0083962
                     84,                0.91699,                0.43703,                0.96981,                0.99157,                0.92396,                0.98042,                0.75691,                0.89321,                0.37998,                 1.0396,              0.0083764,              0.0083764,              0.0083764
