                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0706,                0.53286,                 1.0361,                0.98726,                0.91935,                  0.965,                0.71134,                0.97772,                0.45989,                 1.0613,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0653,                0.52785,                 1.0259,                 0.9964,                0.92396,                0.96965,                0.71084,                0.99338,                0.46838,                 1.0748,               0.001109,               0.001109,               0.001109
                     48,                 1.0608,                0.52922,                  1.031,                0.99098,                0.91935,                0.97098,                0.71887,                 0.9776,                0.45351,                 1.0745,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0611,                0.52493,                 1.0241,                0.98192,                0.91935,                0.96977,                0.72773,                 0.9677,                0.44941,                 1.0636,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0646,                0.52783,                  1.026,                0.99412,                0.91475,                0.97234,                 0.7196,                0.97252,                 0.4526,                 1.0759,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0532,                0.51974,                 1.0207,                0.98505,                0.91083,                0.97169,                0.72008,                0.99422,                0.46077,                 1.0769,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0503,                0.51678,                 1.0196,                0.98971,                0.91475,                 0.9717,                0.71483,                0.99663,                 0.4527,                 1.0821,                0.00101,                0.00101,                0.00101
                     53,                 1.0447,                0.51901,                 1.0212,                 0.9947,                0.91705,                0.97109,                0.71607,                0.97075,                0.44673,                 1.0618,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0464,                0.51952,                 1.0143,                0.99593,                0.92166,                0.97709,                0.72535,                0.97225,                0.44179,                   1.07,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0542,                0.51961,                 1.0182,                0.99418,                0.92627,                 0.9793,                 0.7281,                0.95748,                0.44383,                 1.0657,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0264,                0.50358,                 1.0107,                0.99502,                0.92124,                0.97626,                0.72967,                0.97697,                0.44051,                 1.0715,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0309,                0.50028,                 1.0085,                0.99751,                 0.9216,                0.97517,                0.72936,                0.96985,                0.44416,                  1.069,               0.000911,               0.000911,               0.000911
                     58,                 1.0334,                0.50755,                 1.0145,                0.99609,                0.92166,                0.97625,                0.73554,                0.94995,                0.44143,                 1.0523,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0157,                0.50285,                 1.0137,                 0.9975,                0.91891,                0.97658,                0.73157,                0.97361,                0.44799,                 1.0676,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0227,                0.50173,                 1.0121,                0.99419,                0.91705,                0.97512,                0.73223,                0.95729,                0.43479,                 1.0673,              0.0008516,              0.0008516,              0.0008516
                     61,                      1,                0.48892,                  1.003,                0.99691,                0.92166,                0.97617,                0.72879,                0.95918,                0.43438,                 1.0599,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0168,                0.50329,                 1.0055,                0.99751,                0.92198,                0.98101,                0.73269,                0.95822,                0.43224,                 1.0593,               0.000812,               0.000812,               0.000812
                     63,                  1.015,                0.48838,                 1.0064,                0.99258,                 0.9246,                 0.9778,                0.73754,                0.94203,                0.43286,                   1.06,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0125,                0.48868,                 1.0078,                0.99253,                0.91902,                0.97937,                0.73956,                 0.9356,                0.42772,                 1.0413,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0057,                0.48457,                 1.0023,                 0.9908,                0.91935,                0.97556,                0.74001,                0.93661,                0.43222,                 1.0522,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0039,                0.48525,                 1.0016,                0.99717,                0.91475,                0.97632,                0.74363,                0.94372,                0.43361,                 1.0517,              0.0007328,              0.0007328,              0.0007328
                     67,                0.99149,                0.47928,                0.99125,                0.99749,                0.91641,                0.97833,                0.74325,                0.94195,                0.42741,                 1.0547,               0.000713,               0.000713,               0.000713
                     68,                 1.0056,                  0.486,                0.99755,                0.99572,                0.92166,                0.97777,                0.74266,                0.92843,                0.42422,                 1.0445,              0.0006932,              0.0006932,              0.0006932
                     69,                0.99167,                0.47973,                 1.0011,                 0.9975,                0.91882,                 0.9771,                0.73472,                0.95191,                0.42724,                 1.0587,              0.0006734,              0.0006734,              0.0006734
                     70,                0.98739,                0.47736,                0.99222,                0.98963,                0.92166,                 0.9777,                0.73271,                0.95415,                0.42205,                  1.061,              0.0006536,              0.0006536,              0.0006536
                     71,                0.97933,                0.47368,                0.99172,                0.99577,                0.91705,                0.97856,                0.73589,                0.94124,                0.42253,                 1.0537,              0.0006338,              0.0006338,              0.0006338
                     72,                0.98025,                0.46783,                0.99506,                 0.9975,                0.92075,                0.97596,                0.73691,                0.95035,                0.42164,                 1.0522,               0.000614,               0.000614,               0.000614
                     73,                 0.9853,                0.47461,                0.99434,                0.99415,                0.92396,                0.97656,                0.73251,                0.93993,                0.42426,                  1.058,              0.0005942,              0.0005942,              0.0005942
                     74,                0.96864,                0.46838,                0.98787,                0.99623,                0.91935,                0.97643,                 0.7366,                0.92585,                0.41721,                 1.0461,              0.0005744,              0.0005744,              0.0005744
                     75,                0.97164,                 0.4693,                0.98712,                 0.9943,                0.92396,                0.97944,                0.73425,                0.93406,                0.42415,                 1.0544,              0.0005546,              0.0005546,              0.0005546
                     76,                0.96781,                0.46384,                0.98996,                0.99801,                0.92166,                0.98187,                0.74457,                 0.9315,                 0.4202,                 1.0516,              0.0005348,              0.0005348,              0.0005348
                     77,                0.96182,                0.46597,                0.98319,                0.99502,                0.92114,                0.97801,                0.74004,                0.93227,                0.41423,                 1.0445,               0.000515,               0.000515,               0.000515
                     78,                0.96593,                0.46442,                0.98857,                0.99501,                0.91901,                0.97751,                0.74201,                0.94824,                0.41855,                 1.0595,              0.0004952,              0.0004952,              0.0004952
                     79,                0.95167,                0.45736,                0.98559,                0.99486,                0.92166,                0.98287,                0.74953,                0.92544,                0.40949,                 1.0518,              0.0004754,              0.0004754,              0.0004754
                     80,                0.94593,                0.45409,                0.97961,                0.99413,                0.92396,                0.97803,                0.74454,                0.92039,                 0.4073,                 1.0542,              0.0004556,              0.0004556,              0.0004556
                     81,                0.94542,                0.45149,                0.98011,                0.99364,                0.92396,                 0.9801,                0.74846,                0.91251,                 0.4045,                 1.0385,              0.0004358,              0.0004358,              0.0004358
                     82,                0.94258,                 0.4475,                0.98082,                0.99752,                0.92589,                0.98198,                0.74655,                0.92308,                0.40532,                 1.0463,               0.000416,               0.000416,               0.000416
